New Cases,New Deaths,Province,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2
0.29115292138487053,1.0,Jawa Timur,2,1.079553668621497,0.7346085819169258,0.17491359092373482
1.0,0.6754775655264327,DKI Jakarta,1,1.1928448041098216,0.2029775518162563,0.6172259810739741
0.6889881684507893,0.435436102472975,Jawa Barat,1,0.7886717597004771,0.20297755181625737,0.5813515362084642
0.1089486506003063,0.14008588775359102,Riau,0,0.1375485719957724,0.863049651219797,0.9111607218590151
0.0879835580348995,0.09810454612764698,Banten,0,0.0885551845410648,0.9052178845929855,0.9613037251323575
0.4429443179203136,0.9200355397601067,Jawa Tengah,2,1.0455010748198361,0.56415323595723,0.0
0.009833437814932669,0.00925514586109877,Sulawesi Tenggara,0,0.03578750864888986,1.0242596692092383,1.0805402000670687
0.07590601417246605,0.11039537983118615,Bali,0,0.09260251707488468,0.908149574543746,0.9534852453663604
0.12301478348503005,0.1387531467495928,Kalimantan Timur,0,0.14491621933881227,0.851862711949849,0.907454564994113
0.10523651195454653,0.13068265955871466,Daerah Istimewa Yogyakarta,0,0.1270679336184461,0.8715861352393599,0.9220305907791463
0.050451122449789325,0.08174144824522435,Sumatera Utara,0,0.053419382479652375,0.94636886020591,0.9920950449836864
0.09685682317745736,0.06619280319857841,Sulawesi Selatan,0,0.07399281840904993,0.9174748764635602,0.9904851991366801
0.038702100476912214,0.03790907744706057,Kepulauan Riau,0,0.008467108755674687,0.9827211827237295,1.0405295187959318
0.012194986470294164,0.011624463201540055,Jambi,0,0.032325183809919944,1.0208428771985947,1.077234899479624
0.024205873717455306,0.006367540352435955,Papua,0,0.03298789852662276,1.0144252879916658,1.077751288655544
0.006687880398987456,0.0027395231748852354,Maluku,0,0.04341458105789715,1.030935294502872,1.0882891575470202
0.00043644212380672745,0.0011106175033318514,Maluku Utara,0,0.04850549736451079,1.0370496806980467,1.0924286634521616
0.039511502233790144,0.10484229231452688,Sumatera Selatan,0,0.0751900325070594,0.9422743287644083,0.9735679060092616
0.017732246724700244,0.03294831926551163,Sulawesi Utara,0,0.013189706417217737,1.0030307304770716,1.0537854578508137
0.07843896555281346,0.08381460091811048,Sumatera Barat,0,0.0706037948468758,0.921756410864201,0.9792673894291347
0.02204270784564233,0.05442025766326078,Aceh,0,0.02154502280689711,0.9864065748186783,1.0307068302166578
0.028768677739071095,0.07567007256034355,Lampung,0,0.042967035353452095,0.9681719077637388,1.0068824213562493
0.03421230131964228,0.0316896194284022,Kalimantan Tengah,0,0.006153749011506342,0.9902766771038874,1.04850390000149
0.01335989017529103,0.02191618539908189,Sulawesi Tengah,0,0.023065718794703875,1.0134511508770234,1.066521533159949
0.010849157666701055,0.005182881682215312,Papua Barat,0,0.03896730282582793,1.0260060323784779,1.0841915251850778
0.0,0.0,Sulawesi Barat,0,0.04972551048726203,1.038106511359492,1.093709133535005
0.01273300057927773,0.006071375684880793,Kalimantan Utara,0,0.03720264752889871,1.0239124745735573,1.0825558610527148
0.01675937755417834,0.021027691396416408,Kalimantan Barat,0,0.02140677406114318,1.0112195250461395,1.0660419135737602
0.026880073639689257,0.01762179771953206,Kepulauan Bangka Belitung,0,0.020472802651160818,1.0051006347563796,1.0654433497508358
0.049079900649902,0.07137568488079372,Kalimantan Selatan,0,0.04256103954840585,0.9536889616354097,1.0029901214192785
0.011450654266420146,0.027469272915741152,Nusa Tenggara Barat,0,0.021221425699205893,1.0115812243994995,1.061774318519907
0.008601877494663504,0.004960758181548942,Bengkulu,0,0.040347414409783754,1.0279733228585202,1.085310364837275
0.02647537276125029,0.027099067081297203,Nusa Tenggara Timur,0,0.010629026985311284,0.9994757763590757,1.0561274555881328
